loading LIVE world ...
   [5][7] Sea4: 478 tris, 28 coverage-touched, 22 changed (subdiv+delete) -> 1452 tris, 1434 -> 2171 verts
   [6][7] Sea4: 184 tris, 38 coverage-touched, 35 changed (subdiv+delete) -> 1404 tris, 552 -> 1504 verts
   [7][7] Sea4: 497 tris, 21 coverage-touched, 19 changed (subdiv+delete) -> 1290 tris, 1491 -> 2086 verts
   [5][8] Sea4: 498 tris, 19 coverage-touched, 17 changed (subdiv+delete) -> 1140 tris, 1494 -> 1991 verts
   [6][8] Sea4: 171 tris, 38 coverage-touched, 36 changed (subdiv+delete) -> 1549 tris, 513 -> 1579 verts
   [7][8] Sea4: 493 tris, 24 coverage-touched, 20 changed (subdiv+delete) -> 1212 tris, 1479 -> 2044 verts
BUILD: 6 part files changed, 149 tris subdiv+cut
HIDDEN-CUT GATE: 24866 deleted-region samples over all changed tris, 0 NOT terrain-covered (PASS)
BOAT GATE: 97536 sea-level columns (six blocks), NEW-legal 0 (PASS), hit->MISS 2189 (the cut)

--- gate 0: calibration (live still locks) ---
REPLAY [LIVE calibration]: stalled at (376.86,-509.60), STILL STUCK -> FAIL
g0 live-still-locks: PASS

--- walk gates on STAGED bytes ---
REPLAY [STAGED]: stalled at (419.04,-561.42), ESCAPED after 0 turning ticks -> PASS

=== WALKERS [STAGED]: 8 stalls, 0 HARD-TRAPPED (0 escape headings, own AND cold ring), 0 ring-poisoned ===
   seek  hd= 0 r0=14.0 step= 20 at (380.33,-516.56) y= 3.20 escape own=16 cold=16
   seek  hd=12 r0=20.0 step=  6 at (395.32,-511.33) y=26.09 escape own=16 cold=16
   seek  hd=15 r0=20.0 step= 30 at (380.76,-516.25) y= 3.20 escape own=16 cold=16
   fixed hd= 9 r0= 8.0 step= 20 at (376.90,-509.66) y= 3.20 escape own=17 cold=17
   fixed hd= 9 r0=14.0 step= 34 at (376.88,-509.63) y= 3.20 escape own=17 cold=17
   fixed hd= 9 r0=20.0 step= 48 at (376.89,-509.63) y= 3.20 escape own=17 cold=17
   fixed hd=10 r0= 8.0 step= 20 at (375.82,-509.00) y= 3.20 escape own=16 cold=16
   fixed hd=12 r0=20.0 step=  7 at (395.22,-511.74) y=26.18 escape own=14 cold=14
g2 no own-ring-0 stalls: PASS

=== STATIC FAN MAP [LIVE (identity)]: 2652 standable pts, 0 ALL-STALL (trap), 0 cramped (<=8 ok) ===
   map (0.25u/char, x 368.0->388.0 left->right, z -496.0 top -> -516.0 bottom;
        '#'=trap 'x'=cramped '.'=free ' '=not standable; P=pin G=gC T=tuck)
   |                ................................................                 |
   |              ..................................................                 |
   |              ..................................................                 |
   |              .................................................                  |
   |              .................................................                  |
   |              .................................................                  |
   |              .................................................                  |
   |              .................................................                  |
   |              .................................................                  |
   |              ................................................                   |
   |              .......................G........................                   |
   |              ................................................                   |
   |              ................................................                   |
   |              ................................................                   |
   |               ..............................................                    |
   |               ..............................................                    |
   |               ..............................................                    |
   |                .............................................                    |
   |                ............................................                     |
   |                 ...........................................                     |
   |                 ...........................................                     |
   |                 ...........................................                     |
   |                  .........................................                      |
   |                  .........................................                      |
   |                  .........................................                      |
   |                    .......................................                      |
   |                     .....................................                       |
   |                      ....................................                       |
   |                       ...................................                       |
   |                        .................................                        |
   |                          ...............................                        |
   |                           .............................T                        |
   |                            .............................                        |
   |                             .............................                       |
   |                              ............................                       |
   |                                ...........................                      |
   |                                 ..........................                      |
   |                                  P.........................                     |
   |                                     .......................                     |
   |                                       ......................                    |
   |                                         ....................                    |
   |                                           ...................                   |
   |                                             .................                   |
   |                                               ................                  |
   |                                                  .............                  |
   |                                                    ............                 |
   |                                                      ..........                 |
   |                                                        ........                 |
   |                                                         .......                 |
   |                                                          ......                 |
   |                                                           .....                 |
   |                                                            ....                 |
   |                                                             ...                 |
   |                                                             ...                 |
   |                                                              ..                 |
   |                                                               .                 |
   |                                                               .                 |
   |                                                             ...                 |
   |                                                            ....                 |
   |                                                           .....                 |
   |                                                         .......                 |
   |                                                        ........                 |
   |                                                      ..........                 |
   |                                                     ...........                 |
g3 cold map identical: PASS

=== STAGE-1 GATES ===
   verify: PASS
   g0_live_locks: PASS
   g1_staged_escapes: PASS
   g2_no_own0: PASS
   g3_cold_identical: PASS
