loading the PRE-FAIRING BASELINE world (backups Terrain + live sea) ...
=== BUILD: THE SHORE FAIRING v2 (seam-safe curtain, edge-donor lawn UVs) ===
   outer ( 376.29, -509.40) -> seg  3.50u @  138.0deg
   outer ( 378.63, -512.00) -> seg  0.26u @  138.0deg
   outer ( 378.81, -512.19) -> seg  1.14u @  138.0deg
   outer ( 379.57, -513.04) -> seg  0.79u @  138.0deg
   outer ( 380.09, -513.63) -> seg  1.30u @  138.0deg
   outer ( 380.97, -514.59) -> seg  2.31u @  202.5deg
   [5][7]: 4 old faces deleted, 8 lawn tris + 2 curtain tris added; tris 227 -> 229, verts 681 -> (expanded)
   [5][8]: 6 old faces deleted, 12 lawn tris + 10 curtain tris added; tris 136 -> 148, verts 408 -> (expanded)
COVERAGE DELTA: lost=0 gained=368 off-strip=0

=== incremental SEA CUT (coverage vs staged terrain) ===
   [5][7] Sea4: 1509 tris, 318 coverage-touched, 157 changed (subdiv+delete) -> 1646 tris, 4527 -> 5136 verts
   [5][8] Sea4: 1195 tris, 219 coverage-touched, 97 changed (subdiv+delete) -> 1293 tris, 3585 -> 3974 verts
HIDDEN-CUT GATE: 1307 deleted-region samples over all changed tris, 0 NOT terrain-covered (PASS)
BOAT GATE: 97536 sea-level columns (six blocks), NEW-legal 0 (PASS), hit->MISS 0 (the cut)

=== THE HUG GATES ===
   south+22.5:
      ( 377.5, -503.0): PASS@37  stalls=0
      ( 377.2, -505.5): PASS@30  stalls=0
      ( 377.0, -507.0): PASS@26  stalls=0
   south+45 (report):
      ( 377.5, -503.0): CAUGHT(372.8,-506.5)  stalls=385
      ( 377.2, -505.5): CAUGHT(374.0,-507.5)  stalls=390
      ( 377.0, -507.0): CAUGHT(375.0,-508.4)  stalls=394
   north+22.5:
      ( 381.5, -517.5): PASS@26  stalls=0
      ( 381.0, -518.5): PASS@28  stalls=0
   control east:
      ( 446.5, -496.0): PASS@49  stalls=0

=== walk gates ===

=== WALKERS [STAGED fairing]: 3 stalls, 0 HARD-TRAPPED (0 escape headings, own AND cold ring), 0 ring-poisoned ===
   seek  hd=12 r0=20.0 step=  6 at (395.32,-511.33) y=26.09 escape own=16 cold=16
   fixed hd=10 r0= 8.0 step= 20 at (375.82,-509.00) y= 3.20 escape own=16 cold=16
   fixed hd=12 r0=20.0 step=  7 at (395.22,-511.74) y=26.18 escape own=14 cold=14

=== STATIC FAN MAP [BASELINE (identity)]: 2652 standable pts, 0 ALL-STALL (trap), 0 cramped (<=8 ok) ===
   map (0.25u/char, x 368.0->388.0 left->right, z -496.0 top -> -516.0 bottom;
        '#'=trap 'x'=cramped '.'=free ' '=not standable; P=pin G=gC T=tuck)
   |                ................................................                 |
   |              .................................................                  |
   |              .................................................                  |
   |              .................................................                  |
   |              ................................................                   |
   |              .......................G........................                   |
   |              ................................................                   |
   |              ................................................                   |
   |              ................................................                   |
   |               ..............................................                    |
   |               ..............................................                    |
   |               ..............................................                    |
   |                .............................................                    |
   |                ............................................                     |
   |                 ...........................................                     |
   |                 ...........................................                     |
   |                 ...........................................                     |
   |                  .........................................                      |
   |                  .........................................                      |
   |                  .........................................                      |
   |                    .......................................                      |
   |                     .....................................                       |
   |                      ....................................                       |
   |                       ...................................                       |
   |                        .................................                        |
   |                          ...............................                        |
   |                           .............................T                        |
   |                            .............................                        |
   |                             .............................                       |
   |                              ............................                       |
   |                                ...........................                      |
   |                                 ..........................                      |
   |                                  P.........................                     |
   |                                   .........................                     |
   |                                    .........................                    |
   |                                     ........................                    |
   |                                      ........................                   |
   |                                       .......................                   |
   |                                       ........................                  |
   |                                        .......................                  |
   |                                         .......................                 |
   |                                          ......................                 |
   |                                           .....................                 |
   |                                            ....................                 |
   |                                             ...................                 |
   |                                              ..................                 |
   |                                               .................                 |
   |                                                ................                 |
   |                                                ................                 |
   |                                                 ...............                 |
   |                                                  ..............                 |
   |                                                   .............                 |
   |                                                    ............                 |
   |                                                    ............                 |
   |                                                    ............                 |
   |                                                   .............                 |
   |                                                   .............                 |
   |                                                  ..............                 |
   |                                                  ..............                 |
   cold-map diffs outside the changed bbox: 0 (PASS); staged all-stall=0

=== STAGE-1 GATES ===
   g_coverage: PASS
   g_sea_increment: PASS
   g_hug: PASS
   g_no_own0: PASS
   g_statics: PASS
